 Code, Item,Brand,Exp.,MRP ,,Discount Price,Discount Percent,Barcode,Manufactureer,Small Image,Large Image,Short Description,Long Description
I02237,PATANJALI DITERGENT POWDER 1KG,Patanjali,Nov-19,65,,,,8904109443039,,,,,
I02236,PATANJALI DITERGENT POWDER. 500GM,Patanjali,Oct-19,33,,,,8904109443022,,,,,
I17860,PATANJALI DIVYA COUGH DROPS HONEY JAR,Patanjali,Oct-18,1,,,,8904049102133,,,,,
I17861,PATANJALI DIVYA COUGH DROPS MINT JAR,Patanjali,Oct-18,1,,,,8904049102157,,,,,
I17862,PATANJALI DIVYA COUGH DROPS ORANGE JAR,Patanjali,Oct-18,1,,,,8904049102140,,,,,
I14086,PATANJALI DOODH BISCUIT 100GM,Patanjali,Jul-17,10,,,,8902351222389,,,,,
I16316,PATANJALI DOODH BISCUT,Patanjali,Aug-17,5,,,,8902351222396,,,,,
I01442,PATANJALI DRISHTI EYE DROP,Patanjali,Nov-17,25,,,,8904109470752,,,,,
I18470,PATANJALI DUBAR BASMATI RICE,Patanjali,Dec-19,355,,,,8904109467851,,,,,
II8897,PATANJALI ELAICHI DELITE BISCUIT,Patanjali,Aug-17,10,,,,8902351222303,,,,,
II8897,PATANJALI ELAICHI DELITE BISCUIT,Patanjali,May-18,10,,,,8902351222303,,,,,
I14510,PATANJALI ENERGY BAR CHOCO CHIP,Patanjali,Jul-17,30,,,,8904109469862,,,,,
I16720,PATANJALI ENERGY BAR CHOCO CHIP RS.15,Patanjali,Dec-19,15,,,,8904109469862,,,,,
I16721,PATANJALI ENERGY BAR ORNAGE FEEL RS.15,Patanjali,Dec-19,15,,,,8904109469886,,,,,
I16722,PATANJALI ENERGY BAR STRAWBERY RS.15,Patanjali,Dec-19,15,,,,8904109469879,,,,,
I16723,PATANJALI BEL MURABBA 1 KG,Patanjali,Dec-19,110,,,,8904109470103,,,,,
I16724,PATANJALI HARAD  MURABBA 1 KG,Patanjali,Dec-19,150,,,,8904109470097,,,,,
I16725,PATANJALI AMLA MURABBA 1 KG,Patanjali,Dec-19,120,,,,8904109445026,,,,,
I05138,PATANJALI GAJAR MURABBA 1 KG,Patanjali,Dec-19,125,,,,8904109465482,,,,,
I14503,PATANJALI GAZAR MURABBA 1KG,Patanjali,Dec-19,115,,,,8904109465482,,,,, 
III463,PATANJALI GILOY AMLA JUICE 500ML,Patanjali,Oct-19,80,,,,8904109467608,,,,,
I01398,PATANJALI GILOY GHANVATI,Patanjali,Dec-19,90,,,,8904109420078,,,,,
339112,PATANJALI GONYLE FLOOR CLEANER 1LTR,Patanjali,Oct-19,50,,,,8908004906002,,,,,
339112,PATANJALI GONYLE FLOOR CLEANER 1LTR,Patanjali,Oct-17,48,,,,8908004906002,,,,,
I14608,PATANJALI GUAVA JAM 500GM,Patanjali,Apr-18,150,,,,8904109470356,,,,,
