 Code, Item,Brand,Exp.,MRP ,,Discount Price,Discount Percent,Barcode,Manufactureer,Small Image,Large Image,Short Description,Long Description
I14102,PATANJALI CURVY BRUSH,Patanjali,04-18,15.000,,,,8904109401183    ,8904109401183    ,,,,
132770,PATANJALI DAIRY WHITENER 200GMS,Patanjali,10-17,65.000,,,,8904109401183    ,8904109401183    ,,,,
I14155,PATANJALI DANT KANTHI MEDICATED GEL 100G,Patanjali,04-18,45.000,,,,8904109465505    ,8904109465505    ,,,,
I14099,PATANJALI DANT KANTI ADVANCE 100GM,Patanjali,08-18,90.000,,,,8904109451560    ,8904109451560    ,,,,
I14099,PATANJALI DANT KANTI ADVANCE 50GM,Patanjali,11-18,50.000,,,,8904109451577    ,8904109451577    ,,,,
I07454,PATANJALI DANT KANTI JUNIOR PASTE 100GM,Patanjali,03-18,35.000,,,,8904109465499    ,8904109465499    ,,,,
I01327,PATANJALI DANT KANTI PASTE 100GMS,Patanjali,07-18,40.000,,,,8904109450112    ,8904109450112    ,,,,
I04437,PATANJALI DANT KANTI PASTE 200GM,Patanjali,02-20,75.000,,,,,,,,,
I14601,PATANJALI DANT KANTI PASTE 25GM,Patanjali,11-18,10.000,,,,8904109463310    ,8904109463310    ,,,,
II8892,PATANJALI DETERGENT CAKE ANTI BACTERIA,Patanjali,10-19,16.000,,,,,,,,,
I14105,PATANJALI DETERGENT CAKE ANTI BACTERIA.,Patanjali,06-19,8.000,,,,,,,,,
II8893,PATANJALI DETERGENT POWDER 2KG,Patanjali,11-19,128.000,,,,8904109443046    ,8904109443046    ,,,,
I16869,PATANJALI DHANSHREE BASMASTI RICE 5KG,Patanjali,11-18,490.000,,,,,,,,,
I16999,PATANJALI DIGESTIVE WHOLE WHEAT BISCUT,Patanjali,07-17,50.000,,,,8902351222402    ,8902351222402    ,,,,
I16999,PATANJALI DIGESTIVE WHOLE WHEAT BISCUT,Patanjali,12-18,50.000,,,,8902351222402    ,8902351222402    ,,,,
I18014,PATANJALI DISHWASH BAR 280GM,Patanjali,12-19,15.000,,,,,,,,,
I02237,PATANJALI DITERGENT POWDER 1KG,Patanjali,11-19,65.000,,,,8904109443039    ,8904109443039    ,,,,
I02236,PATANJALI DITERGENT POWDER. 500GM,Patanjali,10-19,33.000,,,,8904109443022    ,8904109443022    ,,,,
I17859,PATANJALI DIVYA COLD RELIFE INHALER,Patanjali,10-18,40.000,,,,,,,,,
I17860,PATANJALI DIVYA COUGH DROPS HONEY JAR,Patanjali,10-18,1.000,,,,8904049102133    ,8904049102133    ,,,,
I17861,PATANJALI DIVYA COUGH DROPS MINT JAR,Patanjali,10-18,1.000,,,,8904049102157    ,8904049102157    ,,,,
